rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
1,0.6275935460689297,0.8243973143162633,0.7553005919166004,0.275321741440308,0.6298597365423843,0.8107045521628119,0.712737238867648,88617,wbf,0.74,0.0005,1,1.000 1.100 0.300,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
2,0.6271147826654857,0.8244193829671389,0.7556036911441815,0.27350375343942757,0.6294708127121235,0.8083915421836341,0.7123096388057131,88772,wbf,0.74,0.0005,1,1.000 1.100 0.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
3,0.6270939433480359,0.8244176015946947,0.7557070576865688,0.274094256218846,0.629639244394324,0.8084169428217851,0.7122781363425564,88707,wbf,0.74,0.0005,1,1.000 1.100 0.200,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
