rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
1,0.631475735966208,0.8263312831105984,0.7564858973481037,0.27323665015228366,0.6310676618391518,0.8110693440708161,0.7120262396370035,88811,wbf,0.74,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
2,0.6314227195380004,0.8263312831105984,0.7564858973481037,0.272879726917066,0.6308188294087389,0.8110693440708161,0.7114048009955166,83480,wbf,0.74,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
3,0.6307911241941283,0.8259765531108209,0.7552286150914842,0.2732317304919409,0.6301873985136538,0.8111017250052235,0.7104261197498141,65433,wbf,0.74,0.002,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
4,0.6303308229322014,0.8250352639603687,0.754715536304333,0.2732028672296998,0.6300303940855752,0.8111071166033376,0.709732679460094,57567,wbf,0.74,0.003,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
5,0.6299446921855748,0.8240702233066397,0.7545150687332406,0.2732417068852178,0.6290133804424282,0.8111087546897516,0.708945973259884,50246,wbf,0.74,0.005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
6,0.6297216748981699,0.8241546324931994,0.7535934372491441,0.27296085121347785,0.62877646000759,0.8115068194104404,0.7081956207847218,44944,wbf,0.74,0.008,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
7,0.6297006855625864,0.8241289694876545,0.7535838964861694,0.2726981961569186,0.6287526837479795,0.8113519096135916,0.7079249302567803,42926,wbf,0.74,0.01,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
