rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.7096014352621727,0.9696543535582574,0.8657547300868653,0.5406220596902237,0.7381954849786148,0.9999999999999998,0.758092092481057,86181,wbf,0.74,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
2,0.7096014352621727,0.9696543535582574,0.8657547300868653,0.5406220596902237,0.7381954849786148,0.9999999999999998,0.7579900913153294,76791,wbf,0.74,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
3,0.7095960594556782,0.9696241801271619,0.865764523348866,0.5405204084492862,0.7381971822646748,0.9999999999999998,0.7581358072663689,86270,wbf,0.75,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
4,0.7095960594556782,0.9696241801271619,0.865764523348866,0.5405204084492862,0.7381971822646748,0.9999999999999998,0.7580338061006412,76849,wbf,0.75,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
5,0.7095512787835895,0.9695419514022748,0.8657499720029561,0.5402343726145054,0.7380581398076151,0.9999999999999998,0.7581455216631048,86478,wbf,0.78,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
6,0.7095512787835895,0.9695419514022748,0.8657499720029561,0.5402343726145054,0.7380581398076151,0.9999999999999998,0.7580435204973772,76959,wbf,0.78,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
7,0.7094828077586901,0.9694576774774516,0.8656865897568523,0.5398365784473362,0.7380465405897744,0.9999999999999998,0.7581309500680008,86551,wbf,0.8,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
8,0.7094828077586901,0.9694576774774516,0.8656865897568523,0.5398365784473362,0.7380465405897744,0.9999999999999998,0.7580289489022731,76976,wbf,0.8,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
9,0.7094815141567936,0.9696743171013782,0.8654927307602929,0.5401773426958791,0.7380959481403144,0.9999999999999998,0.7578443753642898,84949,wbf,0.7,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
10,0.7094815141567936,0.9696743171013782,0.8654927307602929,0.5401773426958791,0.7380959481403144,0.9999999999999998,0.7577666601904022,75795,wbf,0.7,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
11,0.7088576558311261,0.9686371769992925,0.8653452867364627,0.5335816757056598,0.7380078048338333,0.9999999999999998,0.7577423741985623,86237,wbf,0.74,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
12,0.7088576558311261,0.9686371769992925,0.8653452867364627,0.5335816757056598,0.7380078048338333,0.9999999999999998,0.7576743734214105,80749,wbf,0.74,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
13,0.7088510360917212,0.9686272791390919,0.8653522156287027,0.533513818641077,0.7380080442648871,0.9999999999999998,0.7577520885952982,86311,wbf,0.75,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
14,0.7088510360917212,0.9686272791390919,0.8653522156287027,0.533513818641077,0.7380080442648871,0.9999999999999998,0.7576840878181466,80803,wbf,0.75,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
15,0.7088448384839762,0.9685827444900995,0.8653250648867982,0.5332747552916914,0.7378842567005215,0.9999999999999998,0.7577326598018262,86493,wbf,0.78,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
16,0.7088448384839762,0.9685827444900995,0.8653250648867982,0.5332747552916914,0.7378842567005215,0.9999999999999998,0.7576646590246745,80932,wbf,0.78,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
17,0.7087988746977416,0.9689246419362333,0.8652144702928174,0.5354889616772736,0.7373214092867437,0.9999999999999998,0.7573975131144356,86632,wbf,0.85,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
18,0.7087988746977416,0.9689246419362333,0.8652144702928174,0.5354889616772736,0.7373214092867437,0.9999999999999998,0.75729065475034,76914,wbf,0.85,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
