rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.5734487581647917,0.7620059005330221,0.6851136762578535,0.27894861172115676,0.5911897961512553,0.5672705375857382,0.6733115468409586,4003,wbf,0.72,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
2,0.5734487581647917,0.7620059005330221,0.6851136762578535,0.27894861172115676,0.5911897961512553,0.5672705375857382,0.6733115468409586,3814,wbf,0.72,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
3,0.5733422696534409,0.7626163772336201,0.6852145275883841,0.2768604087646472,0.5913599724593548,0.5676878571322177,0.673202614379085,4003,wbf,0.72,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
4,0.5732335846258902,0.7616660283053032,0.6828929931848743,0.28022479905857384,0.5910394602382124,0.5672784865742295,0.673202614379085,4017,wbf,0.74,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
5,0.5732335846258902,0.7616660283053032,0.6828929931848743,0.28022479905857384,0.5910394602382124,0.5672784865742295,0.673202614379085,3828,wbf,0.74,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
6,0.5731505081758346,0.7626163772336201,0.6832969128123197,0.2768604087646472,0.5913599724593548,0.5676878571322177,0.6730936819172114,3768,wbf,0.72,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
7,0.5730588109583498,0.7615618082794248,0.6819993071105356,0.28252599331569506,0.5907006600926223,0.5672655360378072,0.6729847494553377,4037,wbf,0.8,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
8,0.5730588109583498,0.7615618082794248,0.6819993071105356,0.28252599331569506,0.5907006600926223,0.5672655360378072,0.6729847494553377,3845,wbf,0.8,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
9,0.5730357579678884,0.7623082072302249,0.6828876663008067,0.27807457162629623,0.5910743161507983,0.5676957091818248,0.6730936819172114,4017,wbf,0.74,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
10,0.5730357579678884,0.7623082072302249,0.6828876663008067,0.27807457162629623,0.5910743161507983,0.5676957091818248,0.6729847494553377,3782,wbf,0.74,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
11,0.5729551615517575,0.762349057921407,0.6821267394606287,0.2802528720689202,0.5908467303901563,0.5684226135945989,0.6728758169934641,4037,wbf,0.8,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
