rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.5734487581647917,0.7620059005330221,0.6851136762578535,0.27894861172115676,0.5911897961512553,0.5672705375857382,0.6733115468409586,4003,wbf,0.72,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
12,0.5729551615517575,0.762349057921407,0.6821267394606287,0.2802528720689202,0.5908467303901563,0.5684226135945989,0.6728758169934641,3799,wbf,0.8,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
13,0.5729103187693125,0.7627456955980435,0.6825555353603554,0.2721314383793808,0.5914947576502283,0.5667680775180782,0.6729847494553377,4001,wbf,0.72,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
14,0.5729103187693125,0.7627456955980435,0.6825555353603554,0.2721314383793808,0.5914947576502283,0.5667680775180782,0.672875816993464,3663,wbf,0.72,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
15,0.5728916517228766,0.7625530655630525,0.6817511452929457,0.2775279636852497,0.5910572973898374,0.5672215434105107,0.6727668845315904,4037,wbf,0.8,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
16,0.5728916517228766,0.7625530655630525,0.6817511452929457,0.2775279636852497,0.5910572973898374,0.5672215434105107,0.6727668845315904,3695,wbf,0.8,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
17,0.5728624731690897,0.7614409999807773,0.6820854373366049,0.27727393405801165,0.5905634419009704,0.5672549286628829,0.6728758169934641,4026,wbf,0.76,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
18,0.5728624731690897,0.7614409999807773,0.6820854373366049,0.27727393405801165,0.5905634419009704,0.5672549286628829,0.6728758169934641,3835,wbf,0.76,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
19,0.5728599962925143,0.7624497945141328,0.6820774111983028,0.2737727680141625,0.5913139520849139,0.5667758343913266,0.672875816993464,4015,wbf,0.74,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
20,0.5728599962925143,0.7624497945141328,0.6820774111983028,0.2737727680141625,0.5913139520849139,0.5667758343913266,0.6727668845315904,3676,wbf,0.74,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
21,0.5728064408556843,0.7616400242951292,0.6822216614396779,0.2819027757795793,0.5907124471204586,0.5673440560216182,0.6727668845315904,4034,wbf,0.78,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
22,0.5728064408556843,0.7616400242951292,0.6822216614396779,0.2819027757795793,0.5907124471204586,0.5673440560216182,0.6727668845315904,3843,wbf,0.78,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
23,0.5727659226551549,0.7622736059660183,0.6821007096614521,0.27601325078323025,0.5907919979968622,0.5676801002589694,0.6727668845315905,4026,wbf,0.76,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
24,0.5727659226551549,0.7622736059660183,0.6821007096614521,0.27601325078323025,0.5907919979968622,0.5676801002589694,0.6727668845315905,3789,wbf,0.76,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
25,0.5727256666818061,0.7625289461259495,0.6822961620065986,0.27953067598412074,0.5908479162906244,0.5682909483482167,0.6726579520697168,4034,wbf,0.78,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
26,0.5727256666818061,0.7625289461259495,0.6822961620065986,0.27953067598412074,0.5908479162906244,0.5682909483482167,0.6726579520697168,3797,wbf,0.78,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
27,0.5726849487748368,0.7626865939074078,0.6821494980503295,0.27692431758366964,0.5909905787449149,0.5672553598035369,0.6725490196078431,4034,wbf,0.78,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
28,0.5726849487748368,0.7626865939074078,0.6821494980503295,0.27692431758366964,0.5909905787449149,0.5672553598035369,0.6725490196078431,3693,wbf,0.78,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
29,0.5726576086766559,0.762378524914572,0.6819163326018135,0.2733223609549389,0.5908582598057591,0.5667680775180782,0.6726579520697167,4025,wbf,0.76,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
30,0.5726576086766559,0.762378524914572,0.6819163326018135,0.2733223609549389,0.5908582598057591,0.5667680775180782,0.6726579520697167,3684,wbf,0.76,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
31,0.5724584616175062,0.7619463342679482,0.6832726068984899,0.2802823826760034,0.591284388448044,0.5637627736600429,0.6725490196078432,3980,wbf,0.7,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
32,0.5724584616175062,0.7619463342679482,0.6832726068984899,0.2802823826760034,0.591284388448044,0.5637627736600429,0.6725490196078432,3793,wbf,0.7,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
33,0.5724408073546675,0.7625659939696414,0.6833835553891896,0.27677811098884525,0.591441446634011,0.5641879586180898,0.6724400871459696,3980,wbf,0.7,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
34,0.5724408073546675,0.7625659939696414,0.6833835553891896,0.27677811098884525,0.591441446634011,0.5641879586180898,0.6724400871459696,3748,wbf,0.7,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
35,0.5721603238706271,0.7621930421294518,0.6834909155238392,0.28051952603907176,0.590815520903482,0.563100090529105,0.6715686274509804,3782,wbf,0.68,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
36,0.5721603238706271,0.7621930421294518,0.6834909155238392,0.28051952603907176,0.590815520903482,0.563100090529105,0.6715686274509804,3609,wbf,0.68,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
37,0.5721492256668856,0.7629855060360934,0.6835939089532479,0.27763263074045264,0.5911941649842564,0.5631575278123001,0.6714596949891067,3781,wbf,0.68,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
38,0.5721492256668856,0.7629855060360934,0.6835939089532479,0.27763263074045264,0.5911941649842564,0.5631575278123001,0.6714596949891067,3568,wbf,0.68,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
39,0.5720710196693536,0.7628198789019867,0.68261992545995,0.2730671767317408,0.591518498871397,0.5633362724746785,0.6722222222222223,3977,wbf,0.7,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
40,0.5720710196693536,0.7628198789019867,0.68261992545995,0.2730671767317408,0.591518498871397,0.5633362724746785,0.6722222222222223,3642,wbf,0.7,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
41,0.5720122438751688,0.7634415501902401,0.6828721268651508,0.2733508440522379,0.5911032899243787,0.5625907910117215,0.6712418300653594,3780,wbf,0.68,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
42,0.5720122438751688,0.7634415501902401,0.6828721268651508,0.2733508440522379,0.5911032899243787,0.5625907910117215,0.6712418300653594,3473,wbf,0.68,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
43,0.5719148760418428,0.758519563539486,0.6819238777496073,0.2796474220365751,0.5910955287177073,0.5659894690945753,0.6735294117647058,4003,wbf,0.72,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
44,0.5719148760418428,0.758519563539486,0.6819238777496073,0.2796474220365751,0.5910955287177073,0.5659894690945753,0.6735294117647058,3854,wbf,0.72,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
45,0.5718386148594399,0.7526964965712657,0.6791481090305194,0.2782291209211505,0.5919207021058109,0.5652132021058018,0.6735294117647059,4010,wbf,0.72,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
46,0.5718386148594399,0.7526964965712657,0.6791481090305194,0.2782291209211505,0.5919207021058109,0.5652132021058018,0.6735294117647059,3917,wbf,0.72,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
47,0.5717880155754695,0.7582410104067939,0.6795978782965157,0.28089161659033934,0.5909998710603168,0.565955576448137,0.6734204793028322,4017,wbf,0.74,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
48,0.5717880155754695,0.7582410104067939,0.6795978782965157,0.28089161659033934,0.5909998710603168,0.565955576448137,0.6734204793028322,3868,wbf,0.74,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
49,0.5717634165616512,0.7528979226365636,0.677344475981411,0.2813011642361446,0.5919928741232072,0.5652648519339898,0.6734204793028322,3989,wbf,0.7,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
50,0.5717634165616512,0.7528979226365636,0.677344475981411,0.2813011642361446,0.5919928741232072,0.5652648519339898,0.6734204793028322,3897,wbf,0.7,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
51,0.5717452100234475,0.7582112759620974,0.678602571573131,0.2842271840914084,0.5907064708544939,0.5665765789955636,0.6732026143790849,4037,wbf,0.8,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
52,0.5717452100234475,0.7582112759620974,0.678602571573131,0.2842271840914084,0.5907064708544939,0.5665765789955636,0.6732026143790849,3886,wbf,0.8,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
53,0.5717398136709033,0.752493743834443,0.6769542637429262,0.2795347723931247,0.5917898733527663,0.5652212498394916,0.6734204793028322,4020,wbf,0.74,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
54,0.5717398136709033,0.752493743834443,0.6769542637429262,0.2795347723931247,0.5917898733527663,0.5652212498394916,0.6734204793028322,3927,wbf,0.74,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
55,0.5717347280037726,0.7527213523621273,0.6756805962044203,0.2780243404351034,0.591754980213922,0.5650697313822156,0.673202614379085,4038,wbf,0.8,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
56,0.5717347280037726,0.7527213523621273,0.6756805962044203,0.2780243404351034,0.591754980213922,0.5650697313822156,0.673202614379085,3943,wbf,0.8,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
57,0.5715433939685933,0.7527772270946186,0.6761005458455299,0.2771811096288109,0.5915308925845713,0.565189644194455,0.6730936819172113,4029,wbf,0.76,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
58,0.5715433939685933,0.7527772270946186,0.6761005458455299,0.2771811096288109,0.5915308925845713,0.565189644194455,0.6730936819172113,3935,wbf,0.76,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
59,0.5715316115248062,0.7528680668488309,0.676161177930766,0.27775129907044077,0.5917223817044975,0.5654718179092496,0.6729847494553376,4034,wbf,0.78,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
60,0.5715316115248062,0.7528680668488309,0.676161177930766,0.27775129907044077,0.5917223817044975,0.5654718179092496,0.6729847494553376,3940,wbf,0.78,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
61,0.5715145841360786,0.7583638466857126,0.6790589194853514,0.2837449582903297,0.5907036598652144,0.566272247313353,0.6729847494553376,4034,wbf,0.78,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
62,0.5715145841360786,0.7583638466857126,0.6790589194853514,0.2837449582903297,0.5907036598652144,0.566272247313353,0.6729847494553376,3884,wbf,0.78,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
63,0.5714726204787447,0.7581406081980349,0.6789288435957685,0.2798738015854574,0.5905394471000341,0.5659320185367904,0.6730936819172113,4026,wbf,0.76,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
64,0.5714726204787447,0.7581406081980349,0.6789288435957685,0.2798738015854574,0.5905394471000341,0.5659320185367904,0.6730936819172113,3876,wbf,0.76,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
65,0.5711469602883813,0.7584192647519664,0.6800330327655018,0.2795553699875638,0.591178832234131,0.5625113657386969,0.6727668845315904,3980,wbf,0.7,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
66,0.5711469602883813,0.7584192647519664,0.6800330327655018,0.2795553699875638,0.591178832234131,0.5625113657386969,0.6727668845315904,3833,wbf,0.7,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
67,0.571022176189609,0.7587050393542482,0.6802558717991859,0.2809094650528533,0.5908613830047408,0.5613868381207183,0.6717864923747277,3782,wbf,0.68,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
68,0.571022176189609,0.7587050393542482,0.6802558717991859,0.2809094650528533,0.5908613830047408,0.5613868381207183,0.6717864923747277,3643,wbf,0.68,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
69,0.5709079246338145,0.7527962317467255,0.6774292554650783,0.2850245173236401,0.5913771344450336,0.5619247946259921,0.6718954248366013,3788,wbf,0.68,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
70,0.5709079246338145,0.7527962317467255,0.6774292554650783,0.2850245173236401,0.5913771344450336,0.5619247946259921,0.6718954248366013,3701,wbf,0.68,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
71,0.5699678179070687,0.7508428858267532,0.6773419991764835,0.2754303147342793,0.5895253456307036,0.5661283381926522,0.673202614379085,3995,wbf,0.7,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
72,0.5699678179070687,0.7508428858267532,0.6773419991764835,0.2754303147342793,0.5895253456307036,0.5661283381926522,0.673202614379085,3903,wbf,0.7,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
73,0.5697053206175796,0.75065128846636,0.6748098666941098,0.2722270370720932,0.5894959508947027,0.566118097477522,0.6729847494553376,4015,wbf,0.72,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
74,0.5697053206175796,0.75065128846636,0.6748098666941098,0.2722270370720932,0.5894959508947027,0.566118097477522,0.6729847494553376,3922,wbf,0.72,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
75,0.5694770444380695,0.7503500502713538,0.6745372082087523,0.2738662248221362,0.589362099037766,0.5661261452112117,0.6730936819172113,4025,wbf,0.74,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
76,0.5694770444380695,0.7503500502713538,0.6745372082087523,0.2738662248221362,0.589362099037766,0.5661261452112117,0.6730936819172113,3932,wbf,0.74,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
77,0.5694087808311808,0.7506751776421242,0.6735456399051235,0.27268127930252706,0.589350631383119,0.5663849603022426,0.6726579520697167,4036,wbf,0.78,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
78,0.5694087808311808,0.7506751776421242,0.6735456399051235,0.27268127930252706,0.589350631383119,0.5663849603022426,0.6726579520697167,3942,wbf,0.78,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
79,0.5693418184029437,0.7504948145974831,0.6731192542595946,0.27295876457714024,0.5890206140781351,0.5660341877483765,0.6725490196078431,4039,wbf,0.8,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
80,0.5693418184029437,0.7504948145974831,0.6731192542595946,0.27295876457714024,0.5890206140781351,0.5660341877483765,0.6725490196078431,3944,wbf,0.8,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
81,0.5690814766437663,0.750546151748016,0.6735024586078673,0.27178004719585286,0.5889974155717004,0.5661022964394234,0.6725490196078431,4033,wbf,0.76,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
82,0.5690814766437663,0.750546151748016,0.6735024586078673,0.27178004719585286,0.5889974155717004,0.5661022964394234,0.6725490196078431,3939,wbf,0.76,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
83,0.5688860367829711,0.7506069645064638,0.6746541410558263,0.279410667646786,0.5892904280366178,0.5628001260357859,0.6715686274509804,3787,wbf,0.68,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
84,0.5688860367829711,0.7506069645064638,0.6746541410558263,0.279410667646786,0.5892904280366178,0.5628001260357859,0.6715686274509804,3700,wbf,0.68,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
