rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.7867251220379292,0.9581248617159219,0.9358266764210371,0.0,0.7485319161167169,0.8779511588353912,0.8285171102661597,2773,wbf,0.8,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
2,0.7867251220379292,0.9581248617159219,0.9358266764210371,0.0,0.7485319161167169,0.8779511588353912,0.8285171102661597,2711,wbf,0.8,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
3,0.78671595497466,0.9580690392113339,0.9357747473971703,0.0,0.7485159372420215,0.8779511588353912,0.8286438529784537,2771,wbf,0.78,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
4,0.78671595497466,0.9580690392113339,0.9357747473971703,0.0,0.7485159372420215,0.8779511588353912,0.8286438529784537,2710,wbf,0.78,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
5,0.7866877219616559,0.9580166038295439,0.9357090620559152,0.0,0.7483975508803071,0.8779671726820288,0.8286438529784537,2739,wbf,0.7,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
6,0.7866877219616559,0.9580166038295439,0.9357090620559152,0.0,0.7483975508803071,0.8779671726820288,0.8286438529784537,2680,wbf,0.7,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
7,0.7866801415969463,0.9580175220084318,0.9357356959110842,0.0,0.7484456513843737,0.8779511588353912,0.8285171102661597,2767,wbf,0.75,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
8,0.7866801415969463,0.9580175220084318,0.9357356959110842,0.0,0.7484456513843737,0.8779511588353912,0.8285171102661597,2706,wbf,0.75,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
9,0.7866752690991347,0.9580074334347477,0.9357257047854121,0.0,0.7484339677091688,0.8779511588353912,0.8285171102661597,2765,wbf,0.74,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
10,0.7866752690991347,0.9580074334347477,0.9357257047854121,0.0,0.7484339677091688,0.8779511588353912,0.8285171102661597,2705,wbf,0.74,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
11,0.7866033326347034,0.9579330993782453,0.9356044623815732,0.0,0.7484086629069349,0.8784243481324445,0.8286438529784537,2771,wbf,0.78,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
