rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
1,0.6268142663530358,0.8242263329701747,0.7544421664090701,0.27385082685927514,0.6288969615585477,0.8088127234703263,0.7120400331763095,88811,wbf,0.74,0.0005,1,1.000 1.100 0.300,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\gem_adapter_yolo_pretrained_fix_val.json
2,0.6266219880966575,0.8242234528993633,0.7550333871686599,0.27382599830092114,0.6287785424879597,0.8088523107001508,0.7120399812791536,88811,wbf,0.74,0.0005,1,1.000 1.100 0.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\gem_adapter_yolo_pretrained_fix_val.json
3,0.6263428595581118,0.8242271749725749,0.7548726223338444,0.2735467657273622,0.6285621422234874,0.8083501267768087,0.7118834734534736,88811,wbf,0.74,0.0005,1,1.000 1.100 0.200,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\gem_adapter_yolo_pretrained_fix_val.json
