rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.48642321272988204,0.6421391587497528,0.5817190713863643,0.29041476701270996,0.49278960629178425,0.854896281662652,0.5986206896551725,1669,wbf,0.8,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
29,0.48525817267873644,0.6408656814973265,0.5813486841232645,0.28393472596796504,0.492139029039931,0.8519983894580494,0.5965517241379309,1503,wbf,0.6,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
30,0.48525817267873644,0.6408656814973265,0.5813486841232645,0.28393472596796504,0.492139029039931,0.8519983894580494,0.5953103448275863,1454,wbf,0.6,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
31,0.4849002082663885,0.6414329209020331,0.5810245280682745,0.28551009465452903,0.4911964443287546,0.8519983894580494,0.5937931034482757,1475,wbf,0.65,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
32,0.4848331359662115,0.6410766119176106,0.5811550272929196,0.2845870003324762,0.4913638045262092,0.8519983894580494,0.5933793103448275,1417,wbf,0.6,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
33,0.48452509003999084,0.6392276333590452,0.5801719107411102,0.2859467820013119,0.4888382136302212,0.8577310950216568,0.5977931034482757,1669,wbf,0.8,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
34,0.48452509003999084,0.6392276333590452,0.5801719107411102,0.2859467820013119,0.4885257548197356,0.8577310950216568,0.596551724137931,1643,wbf,0.8,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
35,0.48438233243066176,0.6390168402159937,0.5799976455472375,0.2844985151992611,0.48878977369513077,0.8577310950216568,0.5977931034482757,1669,wbf,0.78,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
36,0.48438233243066176,0.6390168402159937,0.5799976455472375,0.2844985151992611,0.48847707001096924,0.8577310950216568,0.596551724137931,1643,wbf,0.78,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
37,0.4842541665689052,0.6389079743063284,0.5794750082641177,0.2836494632706128,0.488477738887208,0.8577310950216568,0.5973793103448276,1660,wbf,0.7,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
38,0.4842541665689052,0.6389079743063284,0.5794750082641177,0.2836494632706128,0.4881430023256659,0.8577310950216568,0.5961379310344828,1634,wbf,0.7,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
39,0.4842538816828204,0.6389340295652041,0.5794774796889642,0.2844570310662398,0.48840054467352606,0.8577310950216568,0.5975172413793104,1668,wbf,0.74,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
40,0.4842538816828204,0.6389340295652041,0.5794774796889642,0.2844570310662398,0.4880681765310514,0.8577310950216568,0.5962758620689655,1642,wbf,0.74,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
41,0.4842538816828204,0.6389340295652041,0.5794774796889642,0.2844570310662398,0.48840054467352606,0.8577310950216568,0.5975172413793104,1668,wbf,0.75,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
42,0.4842538816828204,0.6389340295652041,0.5794774796889642,0.2844570310662398,0.4880681765310514,0.8577310950216568,0.5962758620689655,1642,wbf,0.75,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
43,0.4841574517744744,0.6388666174916516,0.5796003465253168,0.28625529987433895,0.48826711310954407,0.8577310950216568,0.5977931034482757,1670,wbf,0.85,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
44,0.4841574517744744,0.6388666174916516,0.5796003465253168,0.28625529987433895,0.48795514289766756,0.8577310950216568,0.596551724137931,1643,wbf,0.85,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
45,0.4837316269762386,0.6381918674725389,0.5792937847934734,0.28252742355321425,0.48835241232606835,0.8569012519567051,0.5968275862068966,1568,wbf,0.65,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
46,0.4837316269762386,0.6381918674725389,0.5792937847934734,0.28252742355321425,0.4880021453192517,0.8569012519567051,0.5955862068965517,1547,wbf,0.65,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
47,0.48341205339560533,0.6380833106154828,0.5789606951712738,0.28005044890759595,0.48793135082453937,0.8569012519567051,0.5965517241379309,1501,wbf,0.6,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
48,0.48341205339560533,0.6380833106154828,0.5789606951712738,0.28005044890759595,0.4875675192606601,0.8569012519567051,0.5953103448275863,1481,wbf,0.6,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
49,0.4833360123613572,0.6390582873976561,0.5790210105080517,0.2858997144728853,0.4871677145320172,0.8595352491762906,0.597103448275862,1669,wbf,0.8,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
50,0.4831957786165236,0.6388408257519682,0.5788545895054742,0.28436455896496504,0.48710805650997707,0.8595352491762906,0.597103448275862,1669,wbf,0.78,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
51,0.48311196234531123,0.6390582873976561,0.5790210105080517,0.2858997144728853,0.48660190228571704,0.8595352491762906,0.5958620689655173,1643,wbf,0.8,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
52,0.4830538219249141,0.6387301710265028,0.578317330894033,0.28432241885829085,0.4867161622808925,0.8595352491762906,0.5968275862068965,1668,wbf,0.74,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
53,0.4830538219249141,0.6387301710265028,0.578317330894033,0.28432241885829085,0.4867161622808925,0.8595352491762906,0.5968275862068965,1668,wbf,0.75,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
54,0.4829996053071934,0.6387147191410618,0.5786747332242534,0.28627592284207154,0.48656893699756876,0.8595352491762906,0.597103448275862,1670,wbf,0.85,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
55,0.48299923115854093,0.6386701031953937,0.5783342710825522,0.28346396974687843,0.48670042080295106,0.8595352491762906,0.5966896551724138,1662,wbf,0.7,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
56,0.4829717286004775,0.6388408257519682,0.5788545895054742,0.28436455896496504,0.4865418003692345,0.8595352491762906,0.5958620689655173,1643,wbf,0.78,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
57,0.4829160799185891,0.6385693181231966,0.5793602395477676,0.2862257766002525,0.4862119188555294,0.8595352491762906,0.5972413793103448,1669,wbf,0.8,0.0005,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
58,0.48282963734429385,0.6387301710265028,0.578317330894033,0.28432241885829085,0.48613004234814444,0.8595352491762906,0.5955862068965516,1642,wbf,0.74,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
59,0.48282963734429385,0.6387301710265028,0.578317330894033,0.28432241885829085,0.48613004234814444,0.8595352491762906,0.5955862068965516,1642,wbf,0.75,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
60,0.48277568969427637,0.6387147191410618,0.5786747332242534,0.28627592284207154,0.48600401045557645,0.8595352491762906,0.5958620689655173,1643,wbf,0.85,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
61,0.48277423578377743,0.6386701031953937,0.5783342710825522,0.28346396974687843,0.48611152305061656,0.8595352491762906,0.5954482758620689,1636,wbf,0.7,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
62,0.48276163245042986,0.6383444723352009,0.5791799977812901,0.28476125593210205,0.48614320703982206,0.8595352491762906,0.5972413793103448,1669,wbf,0.78,0.0005,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
63,0.4826920299025431,0.6385693181231966,0.5793602395477676,0.2862257766002525,0.4859585654197148,0.8595352491762906,0.596,1643,wbf,0.8,0.001,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
64,0.4826402216736038,0.6382174200538161,0.5789280776744936,0.2847190332483628,0.4859690751638885,0.8595352491762906,0.5969655172413793,1668,wbf,0.74,0.0005,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
65,0.4826402216736038,0.6382174200538161,0.5789280776744936,0.2847190332483628,0.4859690751638885,0.8595352491762906,0.5969655172413793,1668,wbf,0.75,0.0005,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
66,0.4825749229136658,0.6381650930141095,0.5789330121675716,0.2837997898664004,0.4859409475865456,0.8595352491762906,0.5968275862068966,1662,wbf,0.7,0.0005,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
67,0.4825375824343839,0.6383444723352009,0.5791799977812901,0.28476125593210205,0.48588965458324096,0.8595352491762906,0.596,1643,wbf,0.78,0.001,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
68,0.4825351027509655,0.6381523712645958,0.5789107854341715,0.2866429111892779,0.4856429749841986,0.8595352491762906,0.5972413793103448,1670,wbf,0.85,0.0005,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
69,0.4824160370929836,0.6382174200538161,0.5789280776744936,0.2847190332483628,0.48538295523114044,0.8595352491762906,0.5957241379310344,1642,wbf,0.74,0.001,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
70,0.4824160370929836,0.6382174200538161,0.5789280776744936,0.2847190332483628,0.48538295523114044,0.8595352491762906,0.5957241379310344,1642,wbf,0.75,0.001,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
71,0.48239828361644466,0.6382679126798159,0.5790662804968737,0.2847241342862203,0.4858118452453355,0.8594616607363655,0.5966896551724138,1669,wbf,0.8,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
72,0.48239828361644466,0.6382679126798159,0.5790662804968737,0.2847241342862203,0.4858118452453355,0.8594616607363655,0.595448275862069,1643,wbf,0.8,0.001,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
73,0.48234992753890227,0.6381650930141095,0.5789330121675716,0.2837997898664004,0.48535204983421115,0.8595352491762906,0.5955862068965516,1636,wbf,0.7,0.001,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
74,0.48231118713804855,0.6381523712645958,0.5789107854341715,0.2866429111892779,0.4853900186540828,0.8595352491762906,0.596,1643,wbf,0.85,0.001,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
75,0.4822527438746318,0.6379033333607085,0.5781893807298061,0.28192768493810466,0.4866440175254628,0.8587025933300609,0.5961379310344828,1569,wbf,0.65,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
76,0.4822527438746318,0.6379033333607085,0.5781893807298061,0.28192768493810466,0.48602735536296865,0.8587025933300609,0.594896551724138,1548,wbf,0.65,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
77,0.4822513482877699,0.6380554699213018,0.5788918723603215,0.2832501217615389,0.48574769048951266,0.8594616607363655,0.5966896551724138,1669,wbf,0.78,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
78,0.4822513482877699,0.6380554699213018,0.5788918723603215,0.2832501217615389,0.48574769048951266,0.8594616607363655,0.595448275862069,1643,wbf,0.78,0.001,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
79,0.4821264239920018,0.637921256486942,0.5786383445323655,0.2832079816548647,0.4855747439213705,0.8594616607363655,0.5964137931034482,1668,wbf,0.74,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
80,0.4821264239920018,0.637921256486942,0.5786383445323655,0.2832079816548647,0.4852423757788959,0.8594616607363655,0.5951724137931034,1642,wbf,0.74,0.001,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
81,0.4821264239920018,0.637921256486942,0.5786383445323655,0.2832079816548647,0.4855747439213705,0.8594616607363655,0.5964137931034482,1668,wbf,0.75,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
82,0.4821264239920018,0.637921256486942,0.5786383445323655,0.2832079816548647,0.4852423757788959,0.8594616607363655,0.5951724137931034,1642,wbf,0.75,0.001,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
83,0.4820883636571568,0.6378521243952253,0.578622205057475,0.28233971065090224,0.48551624013323497,0.8594616607363655,0.5962758620689654,1662,wbf,0.7,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
84,0.4820883636571568,0.6378521243952253,0.578622205057475,0.28233971065090224,0.48518229678629365,0.8594616607363655,0.5950344827586207,1636,wbf,0.7,0.001,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
85,0.48202877496621543,0.6378964792561894,0.5786765470746579,0.2851642749328118,0.48522786779571636,0.8594616607363655,0.5966896551724138,1670,wbf,0.85,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
86,0.48202877496621543,0.6378964792561894,0.5786765470746579,0.2851642749328118,0.48522786779571636,0.8594616607363655,0.595448275862069,1643,wbf,0.85,0.001,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
87,0.4819537165679069,0.6376933844088487,0.5779452847477996,0.27968104322200954,0.48616379890834854,0.8587025933300609,0.5958620689655173,1501,wbf,0.6,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
88,0.4819537165679069,0.6376933844088487,0.5779452847477996,0.27968104322200954,0.48552274598104384,0.8587025933300609,0.5946206896551725,1481,wbf,0.6,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
89,0.48186898472477135,0.6374350776218165,0.5785816633077364,0.2823158745051417,0.4859034238066932,0.8587025933300609,0.5962758620689655,1569,wbf,0.65,0.0005,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
90,0.48186898472477135,0.6374350776218165,0.5785816633077364,0.2823158745051417,0.48528676164419904,0.8587025933300609,0.5950344827586208,1548,wbf,0.65,0.001,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
91,0.4817014896909411,0.638241315499083,0.5790302221293292,0.28539393322145934,0.4853013342964817,0.8532148993369546,0.5958620689655172,1669,wbf,0.8,0.0005,1,1.000 0.500,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
92,0.4817014896909411,0.638241315499083,0.5790302221293292,0.28539393322145934,0.4853013342964817,0.8532148993369546,0.5946206896551725,1643,wbf,0.8,0.001,1,1.000 0.500,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
93,0.48161043484138705,0.637182635661429,0.5783454585726007,0.28087442124462686,0.48545251762245123,0.8586290048901358,0.5957241379310345,1569,wbf,0.65,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
