rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.48642321272988204,0.6421391587497528,0.5817190713863643,0.29041476701270996,0.49278960629178425,0.854896281662652,0.5986206896551725,1669,wbf,0.8,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
2,0.48627051844544267,0.6418859179842867,0.5813501628369178,0.2871578591937208,0.49249554560635794,0.854896281662652,0.5983448275862069,1656,wbf,0.7,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
3,0.48625871240487195,0.6418964253569558,0.5815238582473878,0.2875098684628549,0.4927662345687246,0.854896281662652,0.5986206896551725,1668,wbf,0.78,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
4,0.48620306057402757,0.6418446892238099,0.581304343356183,0.28746940704695867,0.4923602399867527,0.854896281662652,0.5983448275862069,1666,wbf,0.74,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
5,0.48618570244613807,0.6418289187844907,0.581304343356183,0.28746940704695867,0.4923592303160099,0.854896281662652,0.5983448275862069,1667,wbf,0.75,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
6,0.48609373982888837,0.6416932312103952,0.5812372461951544,0.2910503712343481,0.4923386780391323,0.854896281662652,0.5987586206896551,1670,wbf,0.85,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
7,0.48603059527391057,0.641942810369647,0.581969870711741,0.28908241943295393,0.4923917927952315,0.854896281662652,0.5979310344827586,1669,wbf,0.8,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
8,0.48603059527391057,0.641942810369647,0.581969870711741,0.28908241943295393,0.4920596857432066,0.854896281662652,0.5966896551724137,1608,wbf,0.8,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
9,0.48594297374481227,0.6421391587497528,0.5817190713863643,0.2890597654397841,0.49122177364196756,0.854896281662652,0.5947586206896551,1566,wbf,0.8,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
10,0.48593053957469945,0.6416820399487169,0.5816510319756286,0.28937540029443765,0.49198013166732896,0.854896281662652,0.5980689655172413,1670,wbf,0.85,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
11,0.4858761257098297,0.6417076820174608,0.5816060031587381,0.28616376577935976,0.49202685293059295,0.854896281662652,0.5976551724137932,1656,wbf,0.7,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
12,0.4858761257098297,0.6417076820174608,0.5816060031587381,0.28616376577935976,0.49202685293059295,0.854896281662652,0.5964137931034482,1597,wbf,0.7,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
13,0.48586231714086403,0.6416927579014802,0.5817772986324444,0.2864958443501428,0.4923526014278437,0.854896281662652,0.5979310344827586,1668,wbf,0.78,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
14,0.48586231714086403,0.6416927579014802,0.5817772986324444,0.2864958443501428,0.49202023328536904,0.854896281662652,0.5966896551724137,1607,wbf,0.78,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
15,0.4858010605200153,0.6416820399487169,0.5816510319756286,0.28937540029443765,0.4916485455675425,0.854896281662652,0.5968275862068965,1608,wbf,0.85,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
16,0.48580087979842673,0.641641322548496,0.5815612729241657,0.2864553443946041,0.491913848986338,0.854896281662652,0.5976551724137932,1666,wbf,0.74,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
17,0.48580087979842673,0.641641322548496,0.5815612729241657,0.2864553443946041,0.491913848986338,0.854896281662652,0.5964137931034482,1605,wbf,0.74,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
18,0.48578689315983714,0.6418859179842867,0.5813501628369178,0.285802857620795,0.49124842972298727,0.854896281662652,0.5944827586206897,1555,wbf,0.7,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
19,0.4857821585851088,0.6415948666031496,0.5815612729241657,0.2864553443946041,0.4919129521774485,0.854896281662652,0.5976551724137932,1667,wbf,0.75,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
20,0.4857821585851088,0.6415948666031496,0.5815612729241657,0.2864553443946041,0.4919129521774485,0.854896281662652,0.5964137931034482,1606,wbf,0.75,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
21,0.48577816753509834,0.6418964253569558,0.5815238582473878,0.2861548668899291,0.4911971344433556,0.854896281662652,0.5947586206896551,1565,wbf,0.78,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
22,0.48575089204952104,0.6416932312103952,0.5812372461951544,0.2896941894189309,0.4909144757035507,0.854896281662652,0.5948965517241379,1566,wbf,0.85,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
23,0.485721902764369,0.6418446892238099,0.581304343356183,0.2861144054740329,0.4911214903072013,0.854896281662652,0.5944827586206897,1563,wbf,0.74,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
24,0.48570589440405837,0.6414329209020331,0.5810245280682745,0.28696528155337153,0.49249982049126334,0.8519983894580494,0.5976551724137931,1568,wbf,0.65,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
25,0.4857048513017501,0.6418289187844907,0.581304343356183,0.2861144054740329,0.4911214903072013,0.854896281662652,0.5944827586206897,1564,wbf,0.75,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
26,0.485671884067165,0.6410766119176106,0.5811550272929196,0.2861263642076221,0.4927130777505948,0.8519983894580494,0.5972413793103448,1504,wbf,0.6,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
27,0.48538576390096855,0.641313624205349,0.5812737336947162,0.286358513320314,0.4919912310155127,0.8519983894580494,0.597103448275862,1568,wbf,0.65,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
28,0.48538576390096855,0.641313624205349,0.5812737336947162,0.286358513320314,0.4919912310155127,0.8519983894580494,0.5958620689655172,1514,wbf,0.65,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
