rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
1,0.6284862005948773,0.8258393026041626,0.7558438210317114,0.27437159522152754,0.6307886417911798,0.8098588713570811,0.712477403345333,88810,wbf,0.74,0.0005,1,1.000 1.100 0.300,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\yolo11m_rgbt_aug_domain_w0_val.json
2,0.6281843053198712,0.8258392665018783,0.7558225129067588,0.27388287212335616,0.6301686472881532,0.8090964989765789,0.7122496918714968,88810,wbf,0.74,0.0005,1,1.000 1.100 0.200,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\yolo11m_rgbt_aug_domain_w0_val.json
3,0.6281449493675763,0.8258347329680402,0.755932198096894,0.273398722495654,0.6303342652804904,0.8090301500772459,0.7122748056451788,88810,wbf,0.74,0.0005,1,1.000 1.100 0.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\yolo11m_rgbt_aug_domain_w0_val.json
