rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
32,0.6287471394962714,0.8207441287262776,0.750621403795462,0.26347352579247385,0.6279149628768885,0.8150046900281257,0.7105121331119167,85981,wbf,0.7,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
33,0.6286331263617755,0.8212272181469384,0.7494554959380981,0.2658367752103176,0.6272793828101603,0.814143291248111,0.7095104833264871,74088,wbf,0.65,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
34,0.6286190255201395,0.8202904310089054,0.7499444225591789,0.261972750040711,0.6275410784737383,0.814502034194696,0.7103236262298178,86701,wbf,0.85,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
35,0.6284804278261404,0.8196217487641231,0.7492819327459198,0.2613903978274195,0.6277916522642526,0.8129021979288609,0.7103134677541189,86697,wbf,0.9,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
36,0.6284012384127264,0.8198985816327539,0.7498798368283912,0.2604998247025909,0.6282755624475138,0.8123279763597848,0.7102841880721402,86697,wbf,0.9,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
37,0.6283168912995095,0.8193991973063718,0.7489853655012394,0.26137907270083327,0.6276529254197108,0.8136156418311733,0.7102814245482967,86697,wbf,0.9,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
38,0.6281797446854418,0.8193190074356367,0.7486566739899053,0.2611198960770662,0.6274237519826773,0.8140930191719172,0.710104963646649,86697,wbf,0.9,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
39,0.628130966755715,0.8193531887137416,0.7488841358136493,0.2613856119374676,0.6274692874886744,0.8134145770190954,0.710096535697348,86697,wbf,0.9,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
40,0.6280069381011342,0.8210745695777735,0.7490197965087675,0.26457216784920995,0.6268654250144605,0.8143777276303309,0.7090315894127732,74072,wbf,0.65,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
41,0.6278790561358437,0.821770860014695,0.7481654589971576,0.2656275132102125,0.6283856954444764,0.8081922404229224,0.7084785681465524,67079,wbf,0.6,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
42,0.6275988912695593,0.8192846963443581,0.7485327955465294,0.2609225949070878,0.6270371897312853,0.8135310545737694,0.7097894224047152,86697,wbf,0.9,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
43,0.627417440441362,0.8192289959656288,0.7484999633789463,0.2604707221533847,0.6270796068959175,0.8136398810109062,0.7094451176575473,86697,wbf,0.9,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
44,0.6272869901929652,0.821179352385697,0.747272183071063,0.2653541190854296,0.6278257471618273,0.8084139655716215,0.708363148406193,67015,wbf,0.6,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
45,0.6270774140192727,0.8208442720597474,0.7469018582849314,0.2649913952001798,0.6273549646000519,0.8092652783718569,0.708279937319534,66993,wbf,0.6,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
46,0.6269618317273655,0.8207074570559201,0.7467511098891472,0.26488779913087324,0.6270476464940201,0.8096736339321542,0.7080769151372399,66955,wbf,0.6,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
47,0.626816948820754,0.8207656831892916,0.7467556461349312,0.2653374485177057,0.626979886802076,0.8091796717531662,0.7080072889782891,66968,wbf,0.6,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
48,0.6265911386039167,0.8205584744816146,0.7469012368279239,0.2647160739880946,0.6263324937395721,0.8095395677585888,0.7077366823972003,66925,wbf,0.6,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
49,0.6261116130360593,0.8204302565940601,0.7462651224050864,0.2635023843694762,0.6258952288694088,0.8095591042131743,0.7072070917124117,66897,wbf,0.6,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
