rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.7922813245984887,0.9600593544989985,0.9369374606895579,0.000514974098028998,0.7564545301490905,0.880646589558026,0.832192648922687,2364,wbf,0.74,0.0005,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
30,0.7915482822692622,0.9600593544989985,0.9369462818937002,0.000514974098028998,0.7558515803588979,0.8792076229870168,0.8314321926489227,2364,wbf,0.74,0.0005,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
31,0.7915482822692622,0.9600593544989985,0.9369462818937002,0.0,0.7558515803588979,0.8792076229870168,0.8304182509505702,2317,wbf,0.74,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
32,0.7915426936670271,0.9600731686122473,0.9368602438606837,0.0005230711750420326,0.7548515132617981,0.8803327147194536,0.8318124207858049,2348,wbf,0.7,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
33,0.7915426936670271,0.9600731686122473,0.9368602438606837,0.0,0.7548515132617981,0.8803327147194536,0.8307984790874524,2301,wbf,0.7,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
34,0.7915384924549163,0.9599867024504173,0.9368602438606837,0.0005214314534901764,0.7550990249811842,0.880211274224531,0.8319391634980988,2350,wbf,0.7,0.0005,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
35,0.7915384924549163,0.9599867024504173,0.9368602438606837,0.0,0.7550990249811842,0.880211274224531,0.8309252217997465,2303,wbf,0.7,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
36,0.7915290760472679,0.9600045538382094,0.9368732002618496,0.000514974098028998,0.7558227009439563,0.8792076229870168,0.8313054499366286,2366,wbf,0.75,0.0005,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
37,0.7915290760472679,0.9600045538382094,0.9368732002618496,0.0,0.7558227009439563,0.8792076229870168,0.8302915082382762,2318,wbf,0.75,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
38,0.7915230583171847,0.9600616953225247,0.9368271194395533,0.000518182659387434,0.7548448523642355,0.88032461552723,0.8318124207858049,2359,wbf,0.72,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
39,0.7915230583171847,0.9600616953225247,0.9368271194395533,0.0,0.7548448523642355,0.88032461552723,0.8307984790874524,2312,wbf,0.72,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
40,0.791522871523683,0.9599752291606947,0.9368271194395533,0.0005165733964700818,0.7550928697038489,0.8802031750323075,0.8319391634980988,2361,wbf,0.72,0.0005,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
41,0.791522871523683,0.9599752291606947,0.9368271194395533,0.0,0.7550928697038489,0.8802031750323075,0.8309252217997465,2314,wbf,0.72,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
42,0.791510169043804,0.9599582664061248,0.9368602438606837,0.0005214314534901764,0.7550166045328076,0.8802198810664427,0.8318124207858049,2350,wbf,0.7,0.0005,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
43,0.791510169043804,0.9599582664061248,0.9368602438606837,0.0,0.7550166045328076,0.8802198810664427,0.8307984790874524,2303,wbf,0.7,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
44,0.7914952158016317,0.9599467931164023,0.9368359214462983,0.0005165733964700818,0.7550087251182468,0.8802117818742191,0.8318124207858049,2361,wbf,0.72,0.0005,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
45,0.7914952158016317,0.9599467931164023,0.9368359214462983,0.0,0.7550087251182468,0.8802117818742191,0.8307984790874524,2314,wbf,0.72,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
46,0.7914893081212664,0.9602358365140525,0.9388504380841486,0.0005230711750420326,0.7550095913379524,0.8801186677986028,0.8316856780735108,2347,wbf,0.7,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
47,0.7914893081212664,0.9602358365140525,0.9388504380841486,0.0,0.7550095913379524,0.8801186677986028,0.8306717363751585,2300,wbf,0.7,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
48,0.7914777425674258,0.9599582664061248,0.936877867071571,0.0005198019801980198,0.7556966718306548,0.8792076229870168,0.8314321926489227,2350,wbf,0.7,0.0005,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
49,0.7914777425674258,0.9599582664061248,0.936877867071571,0.0,0.7556966718306548,0.8792076229870168,0.8304182509505702,2303,wbf,0.7,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
50,0.791476729756169,0.9602450419946913,0.938848833598636,0.000518182659387434,0.7550118919092672,0.8801065894850628,0.8316856780735108,2359,wbf,0.72,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
51,0.791476729756169,0.9602450419946913,0.938848833598636,0.0,0.7550118919092672,0.8801065894850628,0.8306717363751585,2312,wbf,0.72,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
52,0.7914760680143558,0.9602932476451553,0.9384328819732827,0.000518182659387434,0.7550518488399574,0.8801065894850628,0.8314321926489227,2365,wbf,0.75,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
53,0.7914760680143558,0.9602932476451553,0.9384328819732827,0.0,0.7550518488399574,0.8801065894850628,0.8304182509505704,2317,wbf,0.75,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
54,0.7914602369501351,0.9599467931164023,0.9368447426504406,0.000514974098028998,0.7556829964255822,0.8792076229870168,0.8314321926489227,2361,wbf,0.72,0.0005,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
55,0.7914602369501351,0.9599467931164023,0.9368447426504406,0.0,0.7556829964255822,0.8792076229870168,0.8304182509505702,2314,wbf,0.72,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
56,0.7912867028062253,0.9601457454122787,0.9369316647968409,0.0,0.7542662581690606,0.879977645095494,0.8297845373891001,2064,wbf,0.65,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
57,0.7912131418697907,0.9600987325308532,0.9369076390908344,0.0005102350725870133,0.7552931914764783,0.8801991599008434,0.8313054499366286,2371,wbf,0.8,0.0005,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
58,0.7912024445090202,0.9601855892890914,0.9369076390908344,0.0005102350725870133,0.7550024639656168,0.880320600395766,0.8311787072243346,2371,wbf,0.8,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
59,0.7911908091180097,0.9600606902412114,0.9369076390908344,0.0005102350725870133,0.7552186462802897,0.880207766742755,0.8313054499366286,2371,wbf,0.8,0.0005,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
60,0.7911810641219983,0.9600644369709193,0.9368684691482094,0.0005133846718005133,0.7552397341952946,0.8802031750323075,0.8314321926489227,2369,wbf,0.78,0.0005,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
61,0.7911710044660606,0.9601512937291575,0.9368684691482094,0.0005133846718005133,0.7549492766087398,0.88032461552723,0.8313054499366286,2369,wbf,0.78,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
62,0.7911587235402276,0.9600263946812776,0.9368684691482094,0.0005133846718005133,0.7551652044942632,0.8802117818742191,0.8314321926489227,2369,wbf,0.78,0.0005,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
63,0.7911243437211452,0.9600606902412114,0.9369163272183344,0.0005118050266565117,0.7558690855527587,0.8791955086633292,0.8309252217997465,2371,wbf,0.8,0.0005,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
64,0.7911090347412362,0.960377858208118,0.9384851703386184,0.0005102350725870133,0.7551319052734937,0.8791714599655641,0.8310519645120407,2371,wbf,0.8,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
65,0.7910958350263814,0.9600263946812776,0.9368857891693747,0.0005133846718005133,0.7558234735177387,0.8792076229870168,0.8310519645120407,2369,wbf,0.78,0.0005,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
66,0.7910756770068245,0.9603250905630003,0.938445427437284,0.0005133846718005133,0.7550691363424515,0.8801065894850628,0.8311787072243346,2369,wbf,0.78,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
67,0.7909456604994501,0.9600987325308532,0.9369076390908344,0.0,0.7552931914764783,0.8801991599008434,0.8302915082382762,2323,wbf,0.8,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
68,0.7909349631386796,0.9601855892890914,0.9369076390908344,0.0,0.7550024639656168,0.880320600395766,0.8301647655259823,2323,wbf,0.8,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
69,0.7909233277476692,0.9600606902412114,0.9369076390908344,0.0,0.7552186462802897,0.880207766742755,0.8302915082382762,2323,wbf,0.8,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
70,0.7909133567428953,0.9600644369709193,0.9368684691482094,0.0,0.7552397341952946,0.8802031750323075,0.8304182509505702,2321,wbf,0.78,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
71,0.7909032970869576,0.9601512937291575,0.9368684691482094,0.0,0.7549492766087398,0.88032461552723,0.8302915082382762,2321,wbf,0.78,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
72,0.7908910161611247,0.9600263946812776,0.9368684691482094,0.0,0.7551652044942632,0.8802117818742191,0.8304182509505702,2321,wbf,0.78,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
73,0.7908568623508047,0.9600606902412114,0.9369163272183344,0.0,0.7558690855527587,0.8791955086633292,0.8299112801013943,2323,wbf,0.8,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
74,0.7908415533708957,0.960377858208118,0.9384851703386184,0.0,0.7551319052734937,0.8791714599655641,0.8300380228136882,2323,wbf,0.8,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
75,0.7908281276472784,0.9600263946812776,0.9368857891693747,0.0,0.7558234735177387,0.8792076229870168,0.8300380228136882,2321,wbf,0.78,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
76,0.7908079696277215,0.9603250905630003,0.938445427437284,0.0,0.7550691363424515,0.8801065894850628,0.8301647655259823,2321,wbf,0.78,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
77,0.7907995966724743,0.9600724909012294,0.9368636398675443,0.0005102350725870133,0.7549947929344992,0.8802356922152041,0.8306717363751582,2372,wbf,0.85,0.0005,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
78,0.7907995966724743,0.9600724909012294,0.9368636398675443,0.0,0.7549947929344992,0.8802356922152041,0.829657794676806,2324,wbf,0.85,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
79,0.7907720448104586,0.9600343632667331,0.9368636398675443,0.0005102350725870133,0.7549196185715236,0.8802442990571158,0.8306717363751582,2372,wbf,0.85,0.0005,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
80,0.7907720448104586,0.9600343632667331,0.9368636398675443,0.0,0.7549196185715236,0.8802442990571158,0.829657794676806,2324,wbf,0.85,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
81,0.790767175836755,0.9601194744737126,0.9368530141520984,0.0005102350725870133,0.7542994611311648,0.8803571327101267,0.8304182509505702,2372,wbf,0.85,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
82,0.790767175836755,0.9601194744737126,0.9368530141520984,0.0,0.7542994611311648,0.8803571327101267,0.8294043092522181,2324,wbf,0.85,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
83,0.7906528899082418,0.9601646815700364,0.9369229766693408,0.0006004932623226222,0.7537109015160839,0.879532220822158,0.8305449936628643,2107,wbf,0.65,0.0005,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
84,0.7906528899082418,0.9601646815700364,0.9369229766693408,0.0,0.7537109015160839,0.879532220822158,0.8295310519645118,2064,wbf,0.65,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
85,0.7906473992550724,0.9602412811066092,0.9369229766693408,0.0006004932623226222,0.7541629033652034,0.879671901618839,0.8304182509505704,2107,wbf,0.65,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
86,0.7906473992550724,0.9602412811066092,0.9369229766693408,0.0,0.7541629033652034,0.879671901618839,0.8294043092522181,2064,wbf,0.65,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
87,0.7906282409605323,0.9604027177702307,0.9384932718699585,0.0005983332146164257,0.7543589346037268,0.8795067143117565,0.8305449936628644,2108,wbf,0.65,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
88,0.7906282409605323,0.9604027177702307,0.9384932718699585,0.0,0.7543589346037268,0.8795067143117565,0.829531051964512,2065,wbf,0.65,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
89,0.7905925625098736,0.9601457454122787,0.9369229766693408,0.0006004932623226222,0.7536217043596833,0.8795421009668367,0.8304182509505702,2107,wbf,0.65,0.0005,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
90,0.7905925625098736,0.9601457454122787,0.9369229766693408,0.0,0.7536217043596833,0.8795421009668367,0.8294043092522179,2064,wbf,0.65,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
91,0.7905762155074078,0.9601457454122787,0.9369316647968409,0.0005983332146164257,0.7536974649292717,0.87848360026468,0.8300380228136882,2107,wbf,0.65,0.0005,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
