rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.7922813245984887,0.9600593544989985,0.9369374606895579,0.000514974098028998,0.7564545301490905,0.880646589558026,0.832192648922687,2364,wbf,0.74,0.0005,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
2,0.7922813245984887,0.9600593544989985,0.9369374606895579,0.0,0.7564545301490905,0.880646589558026,0.8311787072243346,2317,wbf,0.74,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
3,0.7922630368771808,0.9600606902412114,0.9369163272183344,0.0005102350725870133,0.7564813536562355,0.8806425744265619,0.8316856780735108,2371,wbf,0.8,0.0005,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
4,0.7922630368771808,0.9600606902412114,0.9369163272183344,0.0,0.7564813536562355,0.8806425744265619,0.8306717363751585,2323,wbf,0.8,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
5,0.7922614302594485,0.9600045538382094,0.9368645121343495,0.000514974098028998,0.7564256705545991,0.880646589558026,0.8320659062103928,2366,wbf,0.75,0.0005,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
6,0.7922614302594485,0.9600045538382094,0.9368645121343495,0.0,0.7564256705545991,0.880646589558026,0.8310519645120407,2318,wbf,0.75,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
7,0.7922306323243345,0.9600263946812776,0.9368771198067287,0.0005133846718005133,0.7564293583706878,0.880646589558026,0.8318124207858049,2369,wbf,0.78,0.0005,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
8,0.7922306323243345,0.9600263946812776,0.9368771198067287,0.0,0.7564293583706878,0.880646589558026,0.8307984790874524,2321,wbf,0.78,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
9,0.7921975416580203,0.9599582664061248,0.9368690458674287,0.0005198019801980198,0.7562957751838325,0.8806546887502495,0.832192648922687,2350,wbf,0.7,0.0005,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
10,0.7921975416580203,0.9599582664061248,0.9368690458674287,0.0,0.7562957751838325,0.8806546887502495,0.8311787072243346,2303,wbf,0.7,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
11,0.7921921231448851,0.9599467931164023,0.9368359214462983,0.000514974098028998,0.7562829303902389,0.880646589558026,0.832192648922687,2361,wbf,0.72,0.0005,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
12,0.7921921231448851,0.9599467931164023,0.9368359214462983,0.0,0.7562829303902389,0.880646589558026,0.8311787072243346,2314,wbf,0.72,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
13,0.7921094398868839,0.9600343632667331,0.9368723279950442,0.0005102350725870133,0.7555308592325999,0.8806791067409226,0.8310519645120407,2372,wbf,0.85,0.0005,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
14,0.7921094398868839,0.9600343632667331,0.9368723279950442,0.0,0.7555308592325999,0.8806791067409226,0.8300380228136882,2324,wbf,0.85,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
15,0.791609735117676,0.9601647992051011,0.9369286586828129,0.000518182659387434,0.7550173337412855,0.88032461552723,0.8318124207858049,2363,wbf,0.74,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
16,0.791609735117676,0.9601647992051011,0.9369286586828129,0.0,0.7550173337412855,0.88032461552723,0.8307984790874524,2316,wbf,0.74,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
17,0.7916095507680666,0.9600783330432711,0.9369286586828129,0.0005165733964700818,0.7552625402079371,0.8802031750323075,0.8319391634980988,2364,wbf,0.74,0.0005,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
18,0.7916095507680666,0.9600783330432711,0.9369286586828129,0.0,0.7552625402079371,0.8802031750323075,0.8309252217997465,2317,wbf,0.74,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
19,0.791587730533701,0.9601457454122787,0.9369316647968409,0.0005983332146164257,0.7542662581690606,0.879977645095494,0.8307984790874524,2107,wbf,0.65,0.0005,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
20,0.7915837818294992,0.9600593544989985,0.9369374606895579,0.0005165733964700818,0.7551794869888544,0.8802117818742191,0.8318124207858049,2364,wbf,0.74,0.0005,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
21,0.7915837818294992,0.9600593544989985,0.9369374606895579,0.0,0.7551794869888544,0.8802117818742191,0.8307984790874524,2317,wbf,0.74,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
22,0.7915835206314323,0.9600330535692106,0.9368558427717036,0.0005165733964700818,0.7552260137430449,0.8802031750323075,0.8316856780735108,2366,wbf,0.75,0.0005,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
23,0.7915835206314323,0.9600330535692106,0.9368558427717036,0.0,0.7552260137430449,0.8802031750323075,0.8306717363751585,2318,wbf,0.75,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
24,0.791573568311378,0.960119714699152,0.9368558427717036,0.000518182659387434,0.7549340802681339,0.88032461552723,0.8315589353612168,2365,wbf,0.75,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
25,0.791573568311378,0.960119714699152,0.9368558427717036,0.0,0.7549340802681339,0.88032461552723,0.8305449936628644,2317,wbf,0.75,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
26,0.7915633750536332,0.960358929303574,0.9389620933329778,0.000518182659387434,0.7551754086431406,0.8801065894850628,0.8316856780735108,2363,wbf,0.74,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
27,0.7915633750536332,0.960358929303574,0.9389620933329778,0.0,0.7551754086431406,0.8801065894850628,0.8306717363751585,2316,wbf,0.74,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
28,0.7915630924699911,0.9600045538382094,0.9368558427717036,0.0005165733964700818,0.7551527257166954,0.8802117818742191,0.8316856780735108,2366,wbf,0.75,0.0005,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
29,0.7915630924699911,0.9600045538382094,0.9368558427717036,0.0,0.7551527257166954,0.8802117818742191,0.8306717363751585,2318,wbf,0.75,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
