rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.7132901568302424,0.9696618390240753,0.8729641323051618,0.5457448156116232,0.7414486891757586,0.9999999999999998,0.7611666990479892,71708,wbf,0.72,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
2,0.7132901568302424,0.9696618390240753,0.8729641323051618,0.5457448156116232,0.7414486891757586,0.9999999999999998,0.7611278414610453,64331,wbf,0.72,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
3,0.713289863218926,0.9697095806942126,0.8730616856475703,0.5460793534024555,0.7414613351751378,0.9999999999999998,0.7611472702545171,71032,wbf,0.7,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
4,0.713289863218926,0.9697095806942126,0.8730616856475703,0.5460793534024555,0.7414613351751378,0.9999999999999998,0.7611132698659413,63766,wbf,0.7,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
5,0.7131862123678678,0.9696302608772481,0.8728915555733344,0.545542687413437,0.7420946863238519,0.9999999999999998,0.7612249854284048,71883,wbf,0.74,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
6,0.7130522990163897,0.9690573818089175,0.8727188905328571,0.5417898631940999,0.7414825999540684,0.9999999999999998,0.7612346998251409,71086,wbf,0.7,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
7,0.7130522990163897,0.9690573818089175,0.8727188905328571,0.5417898631940999,0.7414825999540684,0.9999999999999998,0.761210413833301,65774,wbf,0.7,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
8,0.7130038511767878,0.9690136856853515,0.8726380067094789,0.5413690505496098,0.7414771238819483,0.9999999999999998,0.761215271031669,71744,wbf,0.72,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
9,0.7130038511767878,0.9690136856853515,0.8726380067094789,0.5413690505496098,0.7414771238819483,0.9999999999999998,0.7611909850398291,66353,wbf,0.72,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
10,0.7129756449611241,0.9690084491566168,0.8725379128412436,0.5411608695896296,0.7414849756418501,0.9999999999999998,0.7612687002137167,71908,wbf,0.74,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
11,0.7129756449611241,0.9690084491566168,0.8725379128412436,0.5411608695896296,0.7414849756418501,0.9999999999999998,0.7612444142218768,66488,wbf,0.74,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
12,0.7128868676663692,0.9689738398571395,0.8724028231165621,0.5408223650609112,0.7414931070882905,0.9999999999999998,0.7612395570235089,72048,wbf,0.76,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
