path,detections,ap,ap50,ap75,aps,apm,apl,ar100,ap_car,ap_truck,ap_bus,ap_van,ap_freight_car
submissions\phase0_search\ad_tta_wbf075_07_val.json,56535,0.6180462133563877,0.811642814001493,0.7394320475467783,0.2604609285477366,0.6160599970125608,0.8123788408507916,0.6920260449938427,0.7084139261683362,0.5640034389018472,0.7873004303779266,0.47220516515416855,0.5583081061796596
submissions\phase0_search\ad_tta_wbf085_val.json,56611,0.616963482158485,0.8106666828635533,0.7402079936565823,0.2557556177679737,0.6150896594577334,0.8125430435214848,0.691204617524523,0.7069111829241954,0.5630264342964726,0.7860901534506813,0.4710334158225882,0.5577562242984875
submissions\phase0_search\ad_tta_wbf065_val.json,52202,0.6167225231161424,0.8105100389812318,0.7398290880726227,0.25653984690687776,0.6148127512340151,0.8111676474928279,0.6909163937916978,0.7063359258224828,0.5620362892393539,0.7861398887850506,0.47125535604452384,0.5578451556893006
submissions\gem_adapter_yolo_pretrained_fix_last_val.json,58101,0.6160052424049905,0.8114958210505027,0.7371522251142479,0.2599700556037303,0.6147930576579999,0.8085193705875059,0.6906909834299926,0.7084400313363878,0.561956223317375,0.7841080307116512,0.46902936725542543,0.556492559404113
submissions\phase0_rgbt2\rgbt_tta_val.json,105496,0.6144039861685479,0.8133942028282285,0.7364633086729082,0.24780140931651756,0.6134225512774589,0.8086912295581576,0.7009427658642573,0.696803984578596,0.5643182521544093,0.7816439007764531,0.4767558963664072,0.5524978969668736
