rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.571389515282938,0.7596041237948672,0.6791190453339508,0.24718872582401402,0.5879343532797261,0.5940524777067682,0.6759259259259259,4415,wbf,0.85,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
2,0.571389515282938,0.7596041237948672,0.6791190453339508,0.24718872582401402,0.5879343532797261,0.5940524777067682,0.6759259259259259,4042,wbf,0.85,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
3,0.5710244958099397,0.75970526686409,0.6796780895090294,0.24686493645472246,0.5877930298548781,0.5907907859424917,0.6750544662309368,4386,wbf,0.75,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
4,0.5710244958099397,0.75970526686409,0.6796780895090294,0.24686493645472246,0.5877930298548781,0.5907907859424917,0.6750544662309368,4030,wbf,0.75,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
5,0.5709726578253905,0.7596510438509326,0.6793423196850918,0.24697957685724725,0.5877434922399551,0.5924953704868307,0.6751633986928104,4408,wbf,0.8,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
6,0.5709726578253905,0.7596510438509326,0.6793423196850918,0.24697957685724725,0.5877434922399551,0.5924953704868307,0.6751633986928104,4044,wbf,0.8,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
7,0.570953609778082,0.7595678034592578,0.6798089959098146,0.24370444179649361,0.5877918097951457,0.5918323281990154,0.6752723311546841,4379,wbf,0.74,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
8,0.570953609778082,0.7595678034592578,0.6798089959098146,0.24370444179649361,0.5877918097951457,0.5918323281990154,0.6752723311546841,4023,wbf,0.74,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
9,0.5708645052016015,0.7593700131748622,0.6793507544923623,0.24697642237584247,0.5876498714947685,0.5907729403439148,0.6750544662309368,4397,wbf,0.78,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
10,0.5708645052016015,0.7593700131748622,0.6793507544923623,0.24697642237584247,0.5876498714947685,0.5907729403439148,0.6750544662309368,4038,wbf,0.78,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
11,0.5704788800847024,0.7571939328053825,0.6801981870838086,0.24358375470104457,0.5878979577414928,0.5891424933829121,0.6741830065359478,4310,wbf,0.7,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
12,0.5704788800847024,0.7571939328053825,0.6801981870838086,0.24358375470104457,0.5878979577414928,0.5891424933829121,0.6741830065359478,3964,wbf,0.7,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
13,0.5703511589198077,0.757705837949065,0.6801555333625875,0.2449409952613657,0.5883546887450173,0.5888414305757053,0.6748366013071896,3854,wbf,0.65,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
14,0.5703511589198077,0.757705837949065,0.6801555333625875,0.2449409952613657,0.5883546887450173,0.5888414305757053,0.6748366013071896,3561,wbf,0.65,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
15,0.5702666015483611,0.7582709519643736,0.6803276695079608,0.24670314357687748,0.587030637379314,0.5944869111936315,0.675599128540305,4415,wbf,0.85,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
16,0.5702666015483611,0.7582709519643736,0.6803276695079608,0.24670314357687748,0.587030637379314,0.5944869111936315,0.675599128540305,4187,wbf,0.85,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
17,0.5698416371053111,0.7577012989354298,0.6811189089948074,0.24670356930457865,0.5868426497011572,0.5906794626633975,0.6746187363834423,4387,wbf,0.75,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
18,0.5698416371053111,0.7577012989354298,0.6811189089948074,0.24670356930457865,0.5868426497011572,0.5906794626633975,0.6746187363834423,4167,wbf,0.75,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
19,0.5698132996468447,0.7581402796897493,0.6808590512522542,0.24670701585058818,0.5867053439484823,0.5924688699222618,0.6747276688453159,4408,wbf,0.8,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
20,0.5698132996468447,0.7581402796897493,0.6808590512522542,0.24670701585058818,0.5867053439484823,0.5924688699222618,0.6747276688453159,4184,wbf,0.8,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
21,0.5697583893121937,0.7575868608553217,0.681030116308107,0.24356023594742227,0.586836095162289,0.5917210049199212,0.6748366013071896,4380,wbf,0.74,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
22,0.5697583893121937,0.7575868608553217,0.681030116308107,0.24356023594742227,0.586836095162289,0.5917210049199212,0.6748366013071896,4161,wbf,0.74,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
23,0.5697256867409366,0.7576252938568884,0.6809287460587857,0.24670386136918337,0.5866901475719443,0.590661331640399,0.6746187363834423,4398,wbf,0.78,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
24,0.5697256867409366,0.7576252938568884,0.6809287460587857,0.24670386136918337,0.5866901475719443,0.590661331640399,0.6746187363834423,4177,wbf,0.78,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
25,0.5694713345104426,0.7552745082010563,0.6808249543020548,0.2435673117743392,0.5868438899816018,0.5888561055143242,0.6737472766884531,4323,wbf,0.7,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
26,0.5694713345104426,0.7552745082010563,0.6808249543020548,0.2435673117743392,0.5868438899816018,0.5888561055143242,0.6737472766884531,4110,wbf,0.7,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
27,0.5694133511467468,0.7580442145911622,0.675125828802839,0.2423040257364665,0.5873031563528472,0.5876251254859518,0.6727668845315905,3545,wbf,0.6,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
28,0.5694133511467468,0.7580442145911622,0.675125828802839,0.2423040257364665,0.5873031563528472,0.5876251254859518,0.6727668845315905,3288,wbf,0.6,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
29,0.5692701437010788,0.7557312532985148,0.6810411265329842,0.2456377497838773,0.5869493743052798,0.5882082509760332,0.674074074074074,3855,wbf,0.65,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
30,0.5692701437010788,0.7557312532985148,0.6810411265329842,0.2456377497838773,0.5869493743052798,0.5882082509760332,0.674074074074074,3673,wbf,0.65,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
31,0.5687580061817818,0.756022841654811,0.6790865001767746,0.24318423222041055,0.5862473894306618,0.5872858452660041,0.6724400871459695,3541,wbf,0.6,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
32,0.5687580061817818,0.756022841654811,0.6790865001767746,0.24318423222041055,0.5862473894306618,0.5872858452660041,0.6724400871459695,3381,wbf,0.6,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
33,0.5610314644164944,0.7465709851137186,0.6670367146048826,0.24622983154949724,0.5827754062103154,0.5681839972344834,0.6753812636165577,4415,wbf,0.85,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
34,0.5610314644164944,0.7465709851137186,0.6670367146048826,0.24622983154949724,0.5827754062103154,0.5681839972344834,0.6753812636165577,4323,wbf,0.85,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
35,0.5607580737928543,0.7459963510314647,0.6663780850700842,0.2438607022739283,0.5828795391369628,0.5681938305632733,0.6755991285403049,4416,wbf,0.85,0.0005,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
36,0.5607580737928543,0.7459963510314647,0.6663780850700842,0.2438607022739283,0.5828795391369628,0.5681938305632733,0.6755991285403049,4324,wbf,0.85,0.001,1,1.000 0.850,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
37,0.5606681599318559,0.746342727015278,0.6675542019620384,0.24606824645218506,0.5823292028723954,0.5681330778164267,0.6749455337690633,4396,wbf,0.75,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,5
