rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
1,0.631475735966208,0.8263312831105984,0.7564858973481037,0.27323665015228366,0.6310676618391518,0.8110693440708161,0.7120262396370035,88811,wbf,0.74,0.0001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
2,0.631475735966208,0.8263312831105984,0.7564858973481037,0.27323665015228366,0.6310676618391518,0.8110693440708161,0.7120262396370035,88811,wbf,0.74,0.0002,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
3,0.631475735966208,0.8263312831105984,0.7564858973481037,0.27323665015228366,0.6310676618391518,0.8110693440708161,0.7120262396370035,88811,wbf,0.74,0.0003,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
4,0.631475735966208,0.8263312831105984,0.7564858973481037,0.27323665015228366,0.6310676618391518,0.8110693440708161,0.7120262396370035,88811,wbf,0.74,0.0004,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
5,0.631475735966208,0.8263312831105984,0.7564858973481037,0.27323665015228366,0.6310676618391518,0.8110693440708161,0.7120262396370035,88811,wbf,0.74,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
6,0.631475735966208,0.8263312831105984,0.7564858973481037,0.27323665015228366,0.6310676618391518,0.8110693440708161,0.7120262396370035,88811,wbf,0.74,0.0007,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
7,0.6314227195380004,0.8263312831105984,0.7564858973481037,0.2731330136204062,0.6308188294087389,0.8110693440708161,0.7116027616421605,86696,wbf,0.74,0.0009,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
